issuer_name_raw,card_name,source_url
Fit카드,현대백화점 Fit카드,https://www.card-gorilla.com/card/detail/2345
바로카드,BC 바로 클리어 플러스,https://www.card-gorilla.com/card/detail/2346
바로카드,BC 바로 리워드 플러스,https://www.card-gorilla.com/card/detail/2347
바로카드,BC 바로 페이백 플러스,https://www.card-gorilla.com/card/detail/2348
덤카드,부자되세요 덤카드,https://www.card-gorilla.com/card/detail/2350
홈쇼핑카드,부자되세요 홈쇼핑카드,https://www.card-gorilla.com/card/detail/2351
체크카드,페이북 머니 체크카드,https://www.card-gorilla.com/card/detail/2362
다사로이OIL카드,SOHO 다사로이OIL카드,https://www.card-gorilla.com/card/detail/2366
해피포인트카드,현대백화점 해피포인트카드,https://www.card-gorilla.com/card/detail/2367
현대오일뱅크카드,현대백화점 현대오일뱅크카드,https://www.card-gorilla.com/card/detail/2368
바로카드,신세계 BC 바로 콰트로 플러스,https://www.card-gorilla.com/card/detail/2380
바로카드,신세계 BC 바로 아시아나 플러스,https://www.card-gorilla.com/card/detail/2381
바로카드,신세계 BC 바로 리워드 플러스,https://www.card-gorilla.com/card/detail/2382
바로카드,신세계 BC 바로 SEVEN FLEX,https://www.card-gorilla.com/card/detail/2383
바로카드,신세계 BC 바로 클리어 플러스,https://www.card-gorilla.com/card/detail/2384
올바른HOMETOWN카드,올바른HOMETOWN카드,https://www.card-gorilla.com/card/detail/2408
체크카드,MY 체크카드,https://www.card-gorilla.com/card/detail/2425
pay카드,zgm.the pay카드,https://www.card-gorilla.com/card/detail/2427
streaming카드,zgm.streaming카드,https://www.card-gorilla.com/card/detail/2428
나라사랑체크카드,IBK DC히어로즈 카드(체크),https://www.card-gorilla.com/card/detail/2438
체크카드,케이뱅크 Hi teen 카드,https://www.card-gorilla.com/card/detail/2439
트리플카드,트리플카드,https://www.card-gorilla.com/card/detail/2454
모임카드,토스뱅크 모임카드,https://www.card-gorilla.com/card/detail/2456
바로카드,BC 바로 에어 플러스 스카이패스,https://www.card-gorilla.com/card/detail/2458
BC바로카드,신세계 푸빌라 BC바로카드,https://www.card-gorilla.com/card/detail/2462
휴가중카드,zgm.휴가중카드,https://www.card-gorilla.com/card/detail/2464
UNKNOWN,,https://www.card-gorilla.com/card/detail/2480
UNKNOWN,I-ALL,https://www.card-gorilla.com/card/detail/2482
바로카드,kt SUPER 카드,https://www.card-gorilla.com/card/detail/2485
NH농협카드,나무 NH농협카드,https://www.card-gorilla.com/card/detail/2490
rounding카드,zgm.rounding카드,https://www.card-gorilla.com/card/detail/2493
바로카드,부자되세요 The Oil 카드,https://www.card-gorilla.com/card/detail/2501
UPTURN카드,UPTURN카드,https://www.card-gorilla.com/card/detail/2502
에듀카드,키자니아 에듀카드,https://www.card-gorilla.com/card/detail/2503
UNKNOWN,팟(pod) 카드,https://www.card-gorilla.com/card/detail/2504
신용카드,오늘은e 신용카드,https://www.card-gorilla.com/card/detail/2505
체크카드,오늘은e 체크카드,https://www.card-gorilla.com/card/detail/2506
체크카드,2030 언택트 체크카드,https://www.card-gorilla.com/card/detail/2507
