benefit_id,card_id,min_amount,min_amount_source,category_id,group_name,benefit_type,rate,fixed_amount,unit_basis,unit_type,raw_text,classification_status
3142,2436,500000,CARD_LEVEL,13,선택형,UNCLASSIFIED,,,,,the Red Stripe의 특별한 디자인을 소개합니다,NEEDS_AI_REVIEW
3143,2441,400000,CARD_LEVEL,6,기타,UNCLASSIFIED,,,,,WE:SH 서비스,NEEDS_AI_REVIEW
3144,2441,400000,CARD_LEVEL,13,선택형,UNCLASSIFIED,,,,,카드 플레이트 선택 가능,NEEDS_AI_REVIEW
3145,2444,0,CARD_LEVEL,13,선택형,UNCLASSIFIED,,,,,플레이트 디자인 선택 가능,NEEDS_AI_REVIEW
3146,2446,0,CARD_LEVEL,33,무이자할부,UNCLASSIFIED,,,,,[비교] “내게 딱 맞춤!” 하나카드의 ‘원더카드’ 중 하나를 쓸 거라면,NEEDS_AI_REVIEW
3147,2447,400000,CARD_LEVEL,33,무이자할부,UNCLASSIFIED,,,,,신한카드 Mr.Life,NEEDS_AI_REVIEW
3148,2448,400000,CARD_LEVEL,33,무이자할부,UNCLASSIFIED,,,,,[비교] “내게 딱 맞춤!” 하나카드의 ‘원더카드’ 중 하나를 쓸 거라면,NEEDS_AI_REVIEW
3149,2449,400000,CARD_LEVEL,33,무이자할부,UNCLASSIFIED,,,,,신한카드 Mr.Life,NEEDS_AI_REVIEW
3150,2450,500000,CARD_LEVEL,4,금융,UNCLASSIFIED,,,,,[HERITAGE Smart 서비스] 금융서비스,NEEDS_AI_REVIEW
3151,2450,500000,CARD_LEVEL,16,프리미엄,UNCLASSIFIED,,,,,[HERITAGE Smart 서비스] Mastercard World 서비스,NEEDS_AI_REVIEW
3152,2450,500000,CARD_LEVEL,16,프리미엄,UNCLASSIFIED,,,,,[HERITAGE Smart 서비스] 전용고객센터,NEEDS_AI_REVIEW
3153,2451,500000,CARD_LEVEL,4,금융,UNCLASSIFIED,,,,,[HERITAGE 전용혜택] 금융서비스,NEEDS_AI_REVIEW
3154,2451,500000,CARD_LEVEL,16,프리미엄,UNCLASSIFIED,,,,,[HERITAGE 전용혜택] Mastercard World 서비스,NEEDS_AI_REVIEW
3155,2451,500000,CARD_LEVEL,16,프리미엄,UNCLASSIFIED,,,,,[HERITAGE Smart 서비스] 전용고객센터,NEEDS_AI_REVIEW
3156,2453,400000,CARD_LEVEL,14,생활,UNCLASSIFIED,,,,,서비스 대상 배달앱/생활편의 가맹점 이용 시 결제일 할인,NEEDS_AI_REVIEW
3157,2459,500000,CARD_LEVEL,28,프리미엄 서비스,UNCLASSIFIED,,,,,국제브랜드 서비스(해외겸용카드 전용),NEEDS_AI_REVIEW
3158,2460,500000,CARD_LEVEL,13,선택형,UNCLASSIFIED,,,,,[SPECIAL PLATE] 특수 소재 카드,NEEDS_AI_REVIEW
3159,2460,500000,CARD_LEVEL,28,프리미엄 서비스,UNCLASSIFIED,,,,,국제브랜드 서비스(해외겸용카드 전용),NEEDS_AI_REVIEW
3160,2461,500000,CARD_LEVEL,28,프리미엄 서비스,UNCLASSIFIED,,,,,국제브랜드 서비스(해외겸용카드 전용),NEEDS_AI_REVIEW
3161,2461,500000,CARD_LEVEL,13,선택형,UNCLASSIFIED,,,,,[SPECIAL PLATE] 특수 소재 카드,NEEDS_AI_REVIEW
3162,2466,300000,CARD_LEVEL,18,카페,UNCLASSIFIED,,,,,이디야커피 청구할인,NEEDS_AI_REVIEW
3163,2466,300000,CARD_LEVEL,13,선택형,UNCLASSIFIED,,,,,다양한 플레이트 선택 가능,NEEDS_AI_REVIEW
3164,2467,400000,CARD_LEVEL,5,통신,UNCLASSIFIED,,,,,알뜰폰 통신요금 월최대 1만 5천원 할인,NEEDS_AI_REVIEW
3165,2469,0,CARD_LEVEL,13,선택형,UNCLASSIFIED,,,,,원하는 디자인 선택 가능,NEEDS_AI_REVIEW
3166,2470,0,CARD_LEVEL,13,선택형,UNCLASSIFIED,,,,,카드플레이트 선택 가능,NEEDS_AI_REVIEW
3167,2471,200000,CARD_LEVEL,13,선택형,UNCLASSIFIED,,,,,카드플레이트 선택 가능,NEEDS_AI_REVIEW
3168,2475,0,CARD_LEVEL,26,해외,UNCLASSIFIED,,,,,해외에서 ATM 사용 및 물품구매 가능,NEEDS_AI_REVIEW
3169,2476,500000,CARD_LEVEL,3,주유,UNCLASSIFIED,,,,,주유(LPG 충전)/전기차 충전 청구할인,NEEDS_AI_REVIEW
3170,2476,500000,CARD_LEVEL,6,기타,UNCLASSIFIED,,,,,주차장 5천원 이상 결제 건당 1천원 할인,NEEDS_AI_REVIEW
3171,2484,500000,CARD_LEVEL,28,프리미엄 서비스,UNCLASSIFIED,,,,,"국제 브랜드 서비스
VISA Young Premium 서비스",NEEDS_AI_REVIEW
3172,2486,0,CARD_LEVEL,13,선택형,UNCLASSIFIED,,,,,원하는 플레이트 선택 가능,NEEDS_AI_REVIEW
3173,2487,300000,CARD_LEVEL,13,선택형,UNCLASSIFIED,,,,,원하는 플레이트 선택 가능,NEEDS_AI_REVIEW
3174,2491,0,CARD_LEVEL,13,선택형,UNCLASSIFIED,,,,,카드 플레이트 선택 가능,NEEDS_AI_REVIEW
3175,2492,0,CARD_LEVEL,13,선택형,UNCLASSIFIED,,,,,카드 플레이트 선택 가능,NEEDS_AI_REVIEW
3176,2495,500000,CARD_LEVEL,13,선택형,UNCLASSIFIED,,,,,플레이트 디자인 선택가능,NEEDS_AI_REVIEW
3177,2511,0,CARD_LEVEL,17,대중교통,UNCLASSIFIED,,,,,버스/지하철 후불교통 이용금액 캐시백,NEEDS_AI_REVIEW
3178,2512,0,CARD_LEVEL,17,대중교통,UNCLASSIFIED,,,,,버스/지하철 후불교통 이용금액 캐시백,NEEDS_AI_REVIEW
3179,2514,500000,CARD_LEVEL,6,기타,UNCLASSIFIED,,,,,미래에셋증권 서비스등급 혜택,NEEDS_AI_REVIEW
3180,2514,500000,CARD_LEVEL,13,선택형,UNCLASSIFIED,,,,,플레이트 2종 선택,NEEDS_AI_REVIEW
3181,2515,500000,CARD_LEVEL,6,기타,UNCLASSIFIED,,,,,미래에셋증권 서비스등급 혜택,NEEDS_AI_REVIEW
3182,2515,500000,CARD_LEVEL,28,프리미엄 서비스,UNCLASSIFIED,,,,,미래에셋 현대카드 Gold 회원만을 위한 프리미엄 서비스,NEEDS_AI_REVIEW
3183,2515,500000,CARD_LEVEL,28,프리미엄 서비스,UNCLASSIFIED,,,,,VISA 프리미엄 서비스,NEEDS_AI_REVIEW
3184,2515,500000,CARD_LEVEL,13,선택형,UNCLASSIFIED,,,,,플레이트 3종 선택,NEEDS_AI_REVIEW
3185,2516,500000,CARD_LEVEL,6,기타,UNCLASSIFIED,,,,,미래에셋증권 서비스등급 혜택,NEEDS_AI_REVIEW
3186,2516,500000,CARD_LEVEL,28,프리미엄 서비스,UNCLASSIFIED,,,,,미래에셋 현대카드 Diamond 회원만을 위한 프리미엄 서비스,NEEDS_AI_REVIEW
3187,2516,500000,CARD_LEVEL,28,프리미엄 서비스,UNCLASSIFIED,,,,,VISA 프리미엄 서비스,NEEDS_AI_REVIEW
3188,2516,500000,CARD_LEVEL,13,선택형,UNCLASSIFIED,,,,,플레이트 3종 선택,NEEDS_AI_REVIEW
3189,2521,400000,CARD_LEVEL,13,선택형,UNCLASSIFIED,,,,,플레이트 6종 선택,NEEDS_AI_REVIEW
3190,2523,300000,CARD_LEVEL,10,영화,UNCLASSIFIED,,,,,전국 영화관 3천원 청구할인,NEEDS_AI_REVIEW
3191,2529,0,CARD_LEVEL,13,선택형,UNCLASSIFIED,,,,,카드 플레이트 선택,NEEDS_AI_REVIEW
3192,2530,300000,CARD_LEVEL,13,선택형,UNCLASSIFIED,,,,,카드 플레이트 선택,NEEDS_AI_REVIEW
3193,2534,500000,CARD_LEVEL,13,선택형,UNCLASSIFIED,,,,,카드 플레이트 선택,NEEDS_AI_REVIEW
3194,2540,0,CARD_LEVEL,28,프리미엄 서비스,UNCLASSIFIED,,,,,Excusive 전용 특별 서비스,NEEDS_AI_REVIEW
3195,2540,0,CARD_LEVEL,28,프리미엄 서비스,UNCLASSIFIED,,,,,Visa Infinite 서비스,NEEDS_AI_REVIEW
3196,2541,0,CARD_LEVEL,28,프리미엄 서비스,UNCLASSIFIED,,,,,Reserve 전용혜택 특별서비스,NEEDS_AI_REVIEW
3197,2541,0,CARD_LEVEL,28,프리미엄 서비스,UNCLASSIFIED,,,,,Amex Elite & ICON 서비스,NEEDS_AI_REVIEW
