source_id,card_name,issuer_name_raw,source_url
2350,부자되세요 덤카드,덤카드,https://www.card-gorilla.com/card/detail/2350
2351,부자되세요 홈쇼핑카드,홈쇼핑카드,https://www.card-gorilla.com/card/detail/2351
2362,페이북 머니 체크카드,체크카드,https://www.card-gorilla.com/card/detail/2362
2366,SOHO 다사로이OIL카드,다사로이OIL카드,https://www.card-gorilla.com/card/detail/2366
2367,현대백화점 해피포인트카드,해피포인트카드,https://www.card-gorilla.com/card/detail/2367
2368,현대백화점 현대오일뱅크카드,현대오일뱅크카드,https://www.card-gorilla.com/card/detail/2368
2380,신세계 BC 바로 콰트로 플러스,바로카드,https://www.card-gorilla.com/card/detail/2380
2381,신세계 BC 바로 아시아나 플러스,바로카드,https://www.card-gorilla.com/card/detail/2381
2382,신세계 BC 바로 리워드 플러스,바로카드,https://www.card-gorilla.com/card/detail/2382
2383,신세계 BC 바로 SEVEN FLEX,바로카드,https://www.card-gorilla.com/card/detail/2383
2384,신세계 BC 바로 클리어 플러스,바로카드,https://www.card-gorilla.com/card/detail/2384
2408,올바른HOMETOWN카드,올바른HOMETOWN카드,https://www.card-gorilla.com/card/detail/2408
2425,MY 체크카드,체크카드,https://www.card-gorilla.com/card/detail/2425
2427,zgm.the pay카드,pay카드,https://www.card-gorilla.com/card/detail/2427
2428,zgm.streaming카드,streaming카드,https://www.card-gorilla.com/card/detail/2428
2438,IBK DC히어로즈 카드(체크),나라사랑체크카드,https://www.card-gorilla.com/card/detail/2438
2439,케이뱅크 Hi teen 카드,체크카드,https://www.card-gorilla.com/card/detail/2439
2454,트리플카드,트리플카드,https://www.card-gorilla.com/card/detail/2454
2456,토스뱅크 모임카드,모임카드,https://www.card-gorilla.com/card/detail/2456
2458,BC 바로 에어 플러스 스카이패스,바로카드,https://www.card-gorilla.com/card/detail/2458
2462,신세계 푸빌라 BC바로카드,BC바로카드,https://www.card-gorilla.com/card/detail/2462
2464,zgm.휴가중카드,휴가중카드,https://www.card-gorilla.com/card/detail/2464
2480,,UNKNOWN,https://www.card-gorilla.com/card/detail/2480
2482,I-ALL,UNKNOWN,https://www.card-gorilla.com/card/detail/2482
2485,kt SUPER 카드,바로카드,https://www.card-gorilla.com/card/detail/2485
2490,나무 NH농협카드,NH농협카드,https://www.card-gorilla.com/card/detail/2490
2493,zgm.rounding카드,rounding카드,https://www.card-gorilla.com/card/detail/2493
2501,부자되세요 The Oil 카드,바로카드,https://www.card-gorilla.com/card/detail/2501
2502,UPTURN카드,UPTURN카드,https://www.card-gorilla.com/card/detail/2502
2503,키자니아 에듀카드,에듀카드,https://www.card-gorilla.com/card/detail/2503
2504,팟(pod) 카드,UNKNOWN,https://www.card-gorilla.com/card/detail/2504
2505,오늘은e 신용카드,신용카드,https://www.card-gorilla.com/card/detail/2505
2506,오늘은e 체크카드,체크카드,https://www.card-gorilla.com/card/detail/2506
2507,2030 언택트 체크카드,체크카드,https://www.card-gorilla.com/card/detail/2507
2508,올유닛 체크카드,체크카드,https://www.card-gorilla.com/card/detail/2508
2509,에어머니 체크카드,체크카드,https://www.card-gorilla.com/card/detail/2509
