card_id,min_amount,min_amount_source,category_id,group_name,benefit_type,rate,fixed_amount,unit_basis,unit_type,raw_text
646,0,CARD_LEVEL,14,생활,RATE_DISCOUNT,0.6,,,,[더해드림] 자주 가는 DREAM영역은 기본의 3배 (총 0.6%) 포인트 적립
646,0,CARD_LEVEL,14,생활,RATE_DISCOUNT,1.0,,,,[챙겨드림] DREAM영역 중 가장 많이 이용한 영역은 기본의 5배 (총 1.0%) 포인트 자동적립
646,0,CARD_LEVEL,9,주유소,FIXED_AMOUNT,,40,,,"주말(토,일) 전 주유소 리터당 40원 적립"
647,300000,CARD_LEVEL,2,모든가맹점,RATE_DISCOUNT,0.2,,,,전 가맹점 이용금액의 0.2% ~ 0.5% 마이신한포인트 적립
647,300000,CARD_LEVEL,12,푸드,RATE_DISCOUNT,5.0,,,,요식업종 이용금액의 5% 할인
647,300000,CARD_LEVEL,27,교통,RATE_DISCOUNT,5.0,,,,"버스, 지하철 이용금액의 5% 할인(후불교통 카드 선택 시)
SK주유소 주유 시 리터당 40원 할인(후불교통카드 미 선택 시)"
647,300000,CARD_LEVEL,1,쇼핑,RATE_DISCOUNT,5.0,,,,"홈쇼핑 이용금액의 5% 할인
해외 이용금액의 5% 할인"
649,500000,CARD_LEVEL,1,쇼핑,RATE_DISCOUNT,5.0,,,,쇼핑/배달 5% 포인트리 적립
650,300000,CARD_LEVEL,12,푸드,RATE_DISCOUNT,5.0,,,,푸드(#외식 #커피) 5% 청구할인
650,300000,CARD_LEVEL,19,편의점,RATE_DISCOUNT,5.0,,,,편의(#편의점 #뷰티) 5% 청구할인
650,300000,CARD_LEVEL,14,생활,RATE_DISCOUNT,5.0,,,,생활(#마트 #주유 #통신) 5% 청구할인
650,300000,CARD_LEVEL,1,쇼핑,RATE_DISCOUNT,5.0,,,,쇼핑/배달 5% 청구할인
652,400000,CARD_LEVEL,18,카페,FIXED_AMOUNT,,2000,,,"커피전문점 2,000원 청구할인(월 2회)"
652,400000,CARD_LEVEL,19,편의점,FIXED_AMOUNT,,1000,,,"편의점 1,000원 청구할인(월 2회)"
656,300000,CARD_LEVEL,26,해외,RATE_DISCOUNT,2.0,,,,해외가맹점(해외직구 포함) 이용금액의 2.0%~0.5% 캐시백
657,300000,CARD_LEVEL,24,마트/편의점,RATE_DISCOUNT,10.0,,,,편의점·헬스&뷰티·생활잡화 10% 결제일할인
657,300000,CARD_LEVEL,26,해외,RATE_DISCOUNT,1.5,,,,해외 1.5% 결제일할인
658,300000,CARD_LEVEL,9,주유소,FIXED_AMOUNT,,60,,,주유 리터당 60원~150원 할인
658,300000,CARD_LEVEL,1,쇼핑,RATE_DISCOUNT,1.0,,,,온라인 간편결제·온라인쇼핑몰 1% 할인
658,300000,CARD_LEVEL,26,해외,RATE_DISCOUNT,1.5,,,,해외 1.5% 결제일 할인
659,300000,CARD_LEVEL,21,온라인쇼핑,RATE_DISCOUNT,5.0,,,,온라인 쇼핑 5% 할인
659,300000,CARD_LEVEL,1,쇼핑,RATE_DISCOUNT,5.0,,,,오프라인 쇼핑 5% 할인
659,300000,CARD_LEVEL,26,해외,RATE_DISCOUNT,1.5,,,,해외 1.5% 할인
661,500000,CARD_LEVEL,14,생활,RATE_DISCOUNT,20.0,,,,정기결제 10~20% 청구할인
661,500000,CARD_LEVEL,26,해외,RATE_DISCOUNT,1.0,,,,해외 가맹점 (온라인/오프라인) 1% 적립
662,300000,CARD_LEVEL,32,해외이용,RATE_DISCOUNT,5.0,,,,삼성페이로 결제 시 해외 오프라인 가맹점 5% 결제일 할인
662,300000,CARD_LEVEL,32,해외이용,RATE_DISCOUNT,1.5,,,,해외 가맹점 1.5% 결제일 할인
663,400000,CARD_LEVEL,9,주유소,RATE_DISCOUNT,1.0,,,,SK 주유소 롤라머니 1% 적립
663,400000,CARD_LEVEL,6,기타,RATE_DISCOUNT,5.0,,,,[플레이롯데] 롯데 주요 매장 5% 할인
667,300000,CARD_LEVEL,22,대형마트,RATE_DISCOUNT,5.0,,,,대형마트 5% 적립
667,300000,CARD_LEVEL,18,카페,RATE_DISCOUNT,5.0,,,,커피 5% 적립
667,300000,CARD_LEVEL,34,병원,RATE_DISCOUNT,5.0,,,,병원/동물병원 5% 적립
677,300000,CARD_LEVEL,21,온라인쇼핑,RATE_DISCOUNT,10.0,,,,"G마켓, 옥션, 우리WON마켓 10% 캐시백"
677,300000,CARD_LEVEL,18,카페,RATE_DISCOUNT,20.0,,,,스타벅스(사이렌오더 포함) 20% 캐시백
677,300000,CARD_LEVEL,6,기타,RATE_DISCOUNT,10.0,,,,"파리바게뜨, 배스킨라빈스, 던킨도너츠 10% 캐시백"
677,300000,CARD_LEVEL,17,대중교통,FIXED_AMOUNT,,2000,,,"전국 시내버스 지하철 2,000원 캐시백"
679,50000,CARD_LEVEL,6,기타,RATE_DISCOUNT,5.0,,,,"문구점 5% 환급할인
독서실 5% 환급할인"
679,50000,CARD_LEVEL,19,편의점,RATE_DISCOUNT,5.0,,,,"GS25, CU편의점 5% 환급할인"
679,50000,CARD_LEVEL,17,대중교통,RATE_DISCOUNT,5.0,,,,"대중교통(버스, 지하철) 5% 청구할인"
680,50000,CARD_LEVEL,6,기타,RATE_DISCOUNT,5.0,,,,"문구점 5% 환급할인
독서실 5% 환급할인"
680,50000,CARD_LEVEL,19,편의점,RATE_DISCOUNT,5.0,,,,"GS25, CU편의점 5% 환급할인"
680,50000,CARD_LEVEL,17,대중교통,RATE_DISCOUNT,5.0,,,,"대중교통(버스, 지하철) 5% 청구할인"
681,0,CARD_LEVEL,14,생활,RATE_DISCOUNT,5.0,,,,생활편의영역 5% SSG MONEY 추가 적립
681,0,CARD_LEVEL,26,해외,RATE_DISCOUNT,1.5,,,,해외 1.5% SSG MONEY 적립
687,400000,CARD_LEVEL,1,쇼핑,RATE_DISCOUNT,10.0,,,,"온·오프라인, 대·소형몰 먹거리까지 구분 없이
10% 캐시백 서비스"
688,300000,CARD_LEVEL,2,모든가맹점,RATE_DISCOUNT,1.5,,,,모아포인트 0.3 ~ 1.5% 적립
688,300000,CARD_LEVEL,11,테마파크,RATE_DISCOUNT,50.0,,,,롯데아쿠아리움 및 주요 놀이공원 50% 현장할인
689,300000,CARD_LEVEL,29,여행/숙박,RATE_DISCOUNT,5.0,,,,"면세점, 항공사, 관광여행사 업종 5% 환급할인"
689,300000,CARD_LEVEL,18,카페,RATE_DISCOUNT,5.0,,,,스타벅스 5% 환급할인
689,300000,CARD_LEVEL,19,편의점,RATE_DISCOUNT,5.0,,,,GS25 편의점 5% 환급할인
690,0,CARD_LEVEL,2,모든가맹점,RATE_DISCOUNT,0.3,,,,[국내] 전월실적 및 횟수 제한 없이 하나머니 0.3%~0.4% 적립
690,0,CARD_LEVEL,26,해외,RATE_DISCOUNT,0.4,,,,[해외] 전월실적 및 횟수 제한 없이 하나머니 0.4% 적립
691,0,CARD_LEVEL,6,기타,RATE_DISCOUNT,5.0,,,,커피전문점·편의점·생활잡화 5% 결제일할인
692,500000,CARD_LEVEL,18,카페,RATE_DISCOUNT,10.0,,,,"스타벅스 사이렌오더, 와인앤모어 10% 결제일 할인"
693,400000,CARD_LEVEL,3,주유,FIXED_AMOUNT,,80,,,"전국 모든 주유소 이용금액 리터당 80원 결제일 할인
전국 모든 충전소 이용금액 리터당 40원 결제일 할인"
694,300000,CARD_LEVEL,21,온라인쇼핑,RATE_DISCOUNT,2.0,,,,온라인 쇼핑 배민포인트 2% 적립
694,300000,CARD_LEVEL,6,기타,FREE_SERVICE,,,,,배민 앱에서 배민페이 연간 이용금액 10만원 이상 시 차년도 연회비 면제
695,500000,CARD_LEVEL,2,모든가맹점,RATE_DISCOUNT,0.5,,,,국내외 가맹점 L.POINT 0.5% 적립
695,500000,CARD_LEVEL,14,생활,RATE_DISCOUNT,50.0,,,,"커피 50% 할인
스트리밍 30% 할인"
695,500000,CARD_LEVEL,15,면세점,RATE_DISCOUNT,15.0,,,,롯데면세점 5~15% 현장할인 (정상가 기준)
696,300000,CARD_LEVEL,17,대중교통,RATE_DISCOUNT,10.0,,,,대중교통(버스/지하철) 10% 적립
696,300000,CARD_LEVEL,5,통신,RATE_DISCOUNT,10.0,,,,통신요금 자동납부 10% 적립
697,400000,CARD_LEVEL,13,선택형,RATE_DISCOUNT,20.0,,,,"[선택형3] 3대 대형할인점(이마트, 홈플러스, 롯데마트), 하나로식자재매장 20% 포인트리 적립"
697,400000,CARD_LEVEL,13,선택형,RATE_DISCOUNT,20.0,,,,"[선택형4] 6대 인터넷쇼핑몰(G마켓, 옥션, 11번가, 인터파크, 롯데ON, 신세계몰) 20% 포인트리 적립"
699,400000,CARD_LEVEL,18,카페,RATE_DISCOUNT,50.0,,,,스타벅스 50% 할인
699,400000,CARD_LEVEL,17,대중교통,RATE_DISCOUNT,5.0,,,,"대중교통(버스, 지하철) 5% 할인"
701,500000,CARD_LEVEL,2,모든가맹점,RATE_DISCOUNT,1.0,,,,"[기본 할인] 모든 가맹점에서 1%/1.5% 할인
당월 이용금액별 최대 1.5% 할인"
704,500000,CARD_LEVEL,2,모든가맹점,RATE_DISCOUNT,1.0,,,,"[기본 할인] 모든 가맹점에서 1%/1.5% 할인
당월 이용금액별 최대 1.5% 할인"
705,500000,CARD_LEVEL,2,모든가맹점,RATE_DISCOUNT,1.0,,,,"[기본 할인] 모든 가맹점에서 1%/1.5% 할인
당월 이용금액별 최대 1.5% 할인"
708,300000,CARD_LEVEL,30,렌터카,RATE_DISCOUNT,3.0,,,,쏘카 앱 이용 시 최대 3% 크레딧 적립
712,300000,INLINE,21,온라인쇼핑,RATE_DISCOUNT,5.0,,,,"쿠팡, SSG닷컴, 롯데ON, 11번가, G마켓 5% 결제일 할인 (전월실적 30만원 이상)"
713,300000,CARD_LEVEL,21,온라인쇼핑,RATE_DISCOUNT,5.0,,,,"쿠팡, SSG닷컴, 롯데ON, 11번가, G마켓 5% 결제일 할인"
717,0,CARD_LEVEL,28,프리미엄 서비스,FREE_SERVICE,,,,,"전세계 공항 라운지 무료 이용 서비스
국내 지정 골프장 무료 커피 제공(골프장 카페 서비스), 골프연습장 무료 제공(골프연습장 타석 서비스)"
717,0,CARD_LEVEL,3,주유,FIXED_AMOUNT,,60,,,SK 주유 및 충전 시 리터(ℓ)당 60원 청구 할인
717,0,CARD_LEVEL,29,여행/숙박,FREE_SERVICE,,,,,"국내 호텔/리조트/카라반/글램핑 2박 연박 시 1박 무료
해외 패키지 여행 할인 등 제공"
718,0,CARD_LEVEL,1,쇼핑,RATE_DISCOUNT,7.0,,,,백화점·프리미엄 아울렛·할인점·온라인쇼핑몰·생활잡화·신선식품 배송 7% 결제일할인
718,0,CARD_LEVEL,26,해외,RATE_DISCOUNT,1.5,,,,해외 1.5% 결제일할인
719,500000,CARD_LEVEL,18,카페,RATE_DISCOUNT,10.0,,,,스타벅스 사이렌오더 10% 할인
719,500000,CARD_LEVEL,14,생활,RATE_DISCOUNT,5.0,,,,"일상 생활(대중교통, 휴대전화, 해외) 할인 5%"
720,300000,CARD_LEVEL,18,카페,RATE_DISCOUNT,5.0,,,,스타벅스 사이렌오더 5% 적립
720,300000,CARD_LEVEL,14,생활,RATE_DISCOUNT,1.0,,,,"일상 생활(대형마트, 슈퍼마켓, 영화, 커피, 대중교통, 휴대전화, 해외) 적립 1%"
720,300000,CARD_LEVEL,21,온라인쇼핑,RATE_DISCOUNT,3.0,,,,온라인쇼핑 적립 3%
724,0,CARD_LEVEL,16,프리미엄,FREE_SERVICE,,,,,"신규 발급 시 본인 회원에 한해 1회 무료로 특수 소재 플레이트 제공,
전 세계 800여 개 공항 라운지 무료 이용 가능한 Priority Pass 카드 제공 외"
725,300000,CARD_LEVEL,19,편의점,RATE_DISCOUNT,5.0,,,,GS25 편의점 5% 할인
725,300000,CARD_LEVEL,14,생활,RATE_DISCOUNT,5.0,,,,"쏘카, 야놀자, LiivM 이동통신 5% 할인"
725,300000,CARD_LEVEL,18,카페,RATE_DISCOUNT,5.0,,,,"스타벅스, 파리바게뜨 5% 할인"
728,300000,CARD_LEVEL,21,온라인쇼핑,RATE_DISCOUNT,5.0,,,,"온라인쇼핑, 홈쇼핑 5% 할인"
728,300000,CARD_LEVEL,17,대중교통,RATE_DISCOUNT,5.0,,,,교통 최대 5% 할인
729,300000,CARD_LEVEL,21,온라인쇼핑,RATE_DISCOUNT,3.0,,,,삼성닷컴 3% 결제일할인
729,300000,CARD_LEVEL,14,생활,RATE_DISCOUNT,3.0,,,,주유·온라인쇼핑몰 3%·6% 결제일할인
729,300000,CARD_LEVEL,6,기타,FIXED_AMOUNT,,3000,,,"라이트할부 이용 시 삼성케어플러스 3,000원~5,000원 결제일할인"
730,400000,CARD_LEVEL,21,온라인쇼핑,RATE_DISCOUNT,10.0,,,,온라인쇼핑몰 이용금액의 10% 청구 할인
730,400000,CARD_LEVEL,22,대형마트,RATE_DISCOUNT,10.0,,,,대형마트 이용금액의 10% 청구 할인
730,400000,CARD_LEVEL,9,주유소,FIXED_AMOUNT,,100,,,주유 시 리터당 100원 청구 할인
730,400000,CARD_LEVEL,14,생활,RATE_DISCOUNT,7.0,,,,생활요금 정기결제 시 7% 청구 할인
730,400000,CARD_LEVEL,33,무이자할부,INSTALLMENT_FREE,,3,,,모든 가맹점에서 2~3개월 무이자할부 혜택 제공
731,400000,CARD_LEVEL,18,카페,RATE_DISCOUNT,50.0,,,,커피전문점 이용금액의 50% 청구 할인
731,400000,CARD_LEVEL,19,편의점,RATE_DISCOUNT,10.0,,,,편의점 이용금액의 10% 청구 할인
731,400000,CARD_LEVEL,17,대중교통,RATE_DISCOUNT,10.0,,,,대중교통 이용금액의 10% 청구 할인
731,400000,CARD_LEVEL,5,통신,RATE_DISCOUNT,7.0,,,,이동통신요금 정기결제 시 7% 청구 할인
